clip,prompt_intent,behaviour_class,frames,embodiment_feasible,rejection_reasons,root_height_min_m,saturated_frame_fraction,reference_semantic_valid,executed_semantic_valid,self_collision_free,worth_a_rollout,controller_trackable,controller_trackability_evidence,controller_trackability_rollouts
104_a_person_walks_briskly_curving_gently_to_the_rig,a person walks briskly curving gently to the rig,turn,120,1,,0.74,0.08333333333333333,0,,1,0,,accepted_nonempty_only,0
106_a_person_walks_slowly_curving_gently_to_the_left,a person walks slowly curving gently to the left,turn,120,1,,0.7447,0.08333333333333333,0,,1,0,,accepted_nonempty_only,0
022_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7258,0.075,0,,1,0,,accepted_nonempty_only,0
041_a_person_walks_briskly_curving_gently_to_the_lef,a person walks briskly curving gently to the lef,turn,120,1,,0.7208,0.075,,,1,1,,accepted_nonempty_only,0
111_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7333,0.058333333333333334,0,,1,0,,accepted_nonempty_only,0
117_a_person_walks_briskly_curving_gently_to_the_rig,a person walks briskly curving gently to the rig,turn,120,1,,0.7347,0.058333333333333334,0,,1,0,,accepted_nonempty_only,0
134_a_person_walks_briskly_curving_gently_to_the_lef,a person walks briskly curving gently to the lef,turn,120,1,,0.7187,0.058333333333333334,,,1,1,,accepted_nonempty_only,0
080_a_person_walks_backwards_briskly_then_turns_shar,a person walks backwards briskly then turns shar,turn,120,1,,0.7104,0.05,,,1,1,,accepted_nonempty_only,0
120_a_person_stands_and_turns_around_in_place_then_w,a person stands and turns around in place then w,turn,120,1,,0.7256,0.025,1,,1,1,,accepted_nonempty_only,0
026_a_person_walks_briskly_curving_gently_to_the_lef,a person walks briskly curving gently to the lef,turn,120,1,,0.7192,0.041666666666666664,0,,1,0,,accepted_nonempty_only,0
079_a_person_walks_backwards_briskly_then_turns_shar,a person walks backwards briskly then turns shar,turn,120,1,,0.7022,0.041666666666666664,,,1,1,,accepted_nonempty_only,0
093_a_person_stands_still_then_begins_walking_briskl,a person stands still then begins walking briskl,stop_start,120,1,,0.6962,0.041666666666666664,1,,1,1,,accepted_nonempty_only,0
028_a_person_walks_briskly_stops_and_stands_still_fo,a person walks briskly stops and stands still fo,stop_start,120,1,,0.7148,0.03333333333333333,0,,1,0,,no_empty_room_evidence,0
103_a_person_walks_briskly_curving_gently_to_the_lef,a person walks briskly curving gently to the lef,turn,120,1,,0.7141,0.03333333333333333,0,,1,0,,accepted_nonempty_only,0
146_a_person_walks_briskly_curving_gently_to_the_rig,a person walks briskly curving gently to the rig,turn,120,1,,0.7218,0.03333333333333333,,,1,1,,accepted_nonempty_only,0
070_a_person_walks_backwards_slowly_then_turns_sharp,a person walks backwards slowly then turns sharp,turn,120,1,,0.7236,0.025,,,1,1,,accepted_nonempty_only,0
121_a_person_stands_and_turns_around_in_place_then_w,a person stands and turns around in place then w,turn,120,1,,0.7301,0.025,1,,1,1,,accepted_nonempty_only,0
122_a_person_stands_and_turns_around_in_place_then_w,a person stands and turns around in place then w,turn,120,1,,0.7178,0.025,1,,1,1,,accepted_nonempty_only,0
004_a_person_walks_slowly_then_turns_sharply_right_a,a person walks slowly then turns sharply right a,turn,120,1,,0.7127,0.016666666666666666,,,1,1,,no_empty_room_evidence,0
033_a_person_walks_slowly_pauses_and_looks_around_th,a person walks slowly pauses and looks around th,walk,120,1,,0.7479,0.016666666666666666,,,1,1,,no_empty_room_evidence,0
144_a_person_walks_briskly_in_a_straight_line_then_s,a person walks briskly in a straight line then s,walk,120,1,,0.7309,0.016666666666666666,,,1,1,,no_empty_room_evidence,0
009_a_person_walks_at_a_steady_pace_then_turns_sharp,a person walks at a steady pace then turns sharp,turn,120,1,,0.7251,0.008333333333333333,,,1,1,,no_empty_room_evidence,0
012_a_person_walks_briskly_curving_gently_to_the_rig,a person walks briskly curving gently to the rig,turn,120,1,,0.7251,0.008333333333333333,,,1,1,,accepted_nonempty_only,0
019_a_person_walks_slowly_stops_and_stands_still_for,a person walks slowly stops and stands still for,stop_start,120,1,,0.7396,0.008333333333333333,0,,1,0,,no_empty_room_evidence,0
050_a_person_walks_slowly_curving_gently_to_the_righ,a person walks slowly curving gently to the righ,turn,120,1,,0.7357,0.008333333333333333,0,,1,0,,no_empty_room_evidence,0
123_a_person_walks_slowly_in_a_straight_line_while_c,a person walks slowly in a straight line while c,walk,120,1,,0.7366,0.008333333333333333,,,1,1,,no_empty_room_evidence,0
125_a_person_walks_slowly_curving_gently_to_the_righ,a person walks slowly curving gently to the righ,turn,120,1,,0.7414,0.008333333333333333,,,1,1,,accepted_nonempty_only,0
130_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7361,0.008333333333333333,,,1,1,,no_empty_room_evidence,0
000_a_person_walks_slowly_in_a_straight_line,a person walks slowly in a straight line,walk,120,1,,0.7069,0.0,,,1,1,,no_empty_room_evidence,0
001_a_person_walks_slowly_curving_gently_to_the_left,a person walks slowly curving gently to the left,turn,120,1,,0.7419,0.0,,,1,1,,no_empty_room_evidence,0
002_a_person_walks_slowly_curving_gently_to_the_righ,a person walks slowly curving gently to the righ,turn,120,1,,0.7355,0.0,,,1,1,,no_empty_room_evidence,0
003_a_person_walks_slowly_then_turns_sharply_left_an,a person walks slowly then turns sharply left an,turn,120,1,,0.7482,0.0,,,1,1,,no_empty_room_evidence,0
005_a_person_walks_at_a_steady_pace_in_a_straight_li,a person walks at a steady pace in a straight li,walk,120,1,,0.7326,0.0,,,1,1,,no_empty_room_evidence,0
006_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7369,0.0,,,1,1,,no_empty_room_evidence,0
007_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7472,0.0,,,1,1,,no_empty_room_evidence,0
008_a_person_walks_at_a_steady_pace_then_turns_sharp,a person walks at a steady pace then turns sharp,turn,120,1,,0.725,0.0,,,1,1,,no_empty_room_evidence,0
010_a_person_walks_briskly_in_a_straight_line,a person walks briskly in a straight line,walk,120,1,,0.7132,0.0,,,1,1,,no_empty_room_evidence,0
013_a_person_walks_briskly_then_turns_sharply_left_a,a person walks briskly then turns sharply left a,turn,120,1,,0.7216,0.0,,,1,1,,accepted_nonempty_only,0
014_a_person_walks_briskly_then_turns_sharply_right,a person walks briskly then turns sharply right,turn,120,1,,0.7022,0.0,,,1,1,,accepted_nonempty_only,0
015_a_person_walks_slowly_in_a_straight_line_stops_a,a person walks slowly in a straight line stops a,stop_start,120,1,,0.7342,0.0,0,,1,0,,no_empty_room_evidence,0
016_a_person_walks_slowly_curving_gently_to_the_left,a person walks slowly curving gently to the left,turn,120,1,,0.7455,0.0,0,,1,0,,no_empty_room_evidence,0
017_a_person_walks_slowly_curving_gently_to_the_righ,a person walks slowly curving gently to the righ,turn,120,1,,0.7462,0.0,0,,1,0,,no_empty_room_evidence,0
018_a_person_walks_slowly_stops_and_stands_still_for,a person walks slowly stops and stands still for,stop_start,120,1,,0.7536,0.0,0,,1,0,,no_empty_room_evidence,0
020_a_person_walks_at_a_steady_pace_in_a_straight_li,a person walks at a steady pace in a straight li,walk,120,1,,0.7321,0.0,0,,1,0,,no_empty_room_evidence,0
021_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7339,0.0,0,,1,0,,no_empty_room_evidence,0
023_a_person_walks_at_a_steady_pace_stops_and_stands,a person walks at a steady pace stops and stands,stop_start,120,1,,0.7205,0.0,0,,1,0,,no_empty_room_evidence,0
024_a_person_walks_at_a_steady_pace_stops_and_stands,a person walks at a steady pace stops and stands,stop_start,120,1,,0.7284,0.0,0,,1,0,,accepted_nonempty_only,0
025_a_person_walks_briskly_in_a_straight_line_stops,a person walks briskly in a straight line stops,stop_start,120,1,,0.6518,0.0,0,,1,0,,no_empty_room_evidence,0
029_a_person_walks_briskly_stops_and_stands_still_fo,a person walks briskly stops and stands still fo,stop_start,120,1,,0.6918,0.0,0,,1,0,,accepted_nonempty_only,0
030_a_person_walks_slowly_in_a_straight_line_pauses,a person walks slowly in a straight line pauses,walk,120,1,,0.7513,0.0,,,1,1,,no_empty_room_evidence,0
031_a_person_walks_slowly_curving_gently_to_the_left,a person walks slowly curving gently to the left,turn,120,1,,0.7499,0.0,,,1,1,,no_empty_room_evidence,0
032_a_person_walks_slowly_curving_gently_to_the_righ,a person walks slowly curving gently to the righ,turn,120,1,,0.7507,0.0,,,1,1,,no_empty_room_evidence,0
034_a_person_walks_slowly_pauses_and_looks_around_th,a person walks slowly pauses and looks around th,walk,120,1,,0.7618,0.0,,,1,1,,no_empty_room_evidence,0
035_a_person_walks_at_a_steady_pace_in_a_straight_li,a person walks at a steady pace in a straight li,walk,120,1,,0.7204,0.0,,,1,1,,no_empty_room_evidence,0
036_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7435,0.0,,,1,1,,no_empty_room_evidence,0
037_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7356,0.0,,,1,1,,no_empty_room_evidence,0
038_a_person_walks_at_a_steady_pace_pauses_and_looks,a person walks at a steady pace pauses and looks,walk,120,1,,0.7381,0.0,,,1,1,,no_empty_room_evidence,0
039_a_person_walks_at_a_steady_pace_pauses_and_looks,a person walks at a steady pace pauses and looks,walk,120,1,,0.7292,0.0,,,1,1,,no_empty_room_evidence,0
040_a_person_walks_briskly_in_a_straight_line_pauses,a person walks briskly in a straight line pauses,walk,120,1,,0.7005,0.0,,,1,1,,no_empty_room_evidence,0
043_a_person_walks_briskly_pauses_and_looks_around_t,a person walks briskly pauses and looks around t,walk,120,1,,0.6973,0.0,,,1,1,,no_empty_room_evidence,0
044_a_person_walks_briskly_pauses_and_looks_around_t,a person walks briskly pauses and looks around t,walk,120,1,,0.712,0.0,,,1,1,,no_empty_room_evidence,0
048_a_person_walks_slowly_in_a_straight_line_and_duc,a person walks slowly in a straight line and duc,walk,120,1,,0.7325,0.0,0,,1,0,,no_empty_room_evidence,0
049_a_person_walks_slowly_curving_gently_to_the_left,a person walks slowly curving gently to the left,turn,120,1,,0.7416,0.0,0,,1,0,,no_empty_room_evidence,0
051_a_person_walks_slowly_and_ducks_down_low_to_pass,a person walks slowly and ducks down low to pass,crouch,120,1,,0.7266,0.0,0,,1,0,,no_empty_room_evidence,0
053_a_person_walks_at_a_steady_pace_in_a_straight_li,a person walks at a steady pace in a straight li,walk,120,1,,0.7175,0.0,0,,1,0,,no_empty_room_evidence,0
054_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7423,0.0,0,,1,0,,no_empty_room_evidence,0
055_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7391,0.0,0,,1,0,,accepted_nonempty_only,0
057_a_person_walks_at_a_steady_pace_and_ducks_down_l,a person walks at a steady pace and ducks down l,crouch,120,1,,0.7335,0.0,0,,1,0,,no_empty_room_evidence,0
058_a_person_walks_briskly_in_a_straight_line_and_du,a person walks briskly in a straight line and du,walk,120,1,,0.6538,0.0,1,,1,1,,no_empty_room_evidence,0
062_a_person_walks_briskly_and_ducks_down_low_to_pas,a person walks briskly and ducks down low to pas,crouch,120,1,,0.6998,0.0,0,,1,0,,no_empty_room_evidence,0
066_a_person_walks_backwards_slowly_in_a_straight_li,a person walks backwards slowly in a straight li,walk,120,1,,0.7437,0.0,,,1,1,,no_empty_room_evidence,0
067_a_person_walks_backwards_slowly_curving_gently_t,a person walks backwards slowly curving gently t,turn,120,1,,0.7413,0.0,,,1,1,,no_empty_room_evidence,0
068_a_person_walks_backwards_slowly_curving_gently_t,a person walks backwards slowly curving gently t,turn,120,1,,0.7373,0.0,,,1,1,,no_empty_room_evidence,0
069_a_person_walks_backwards_slowly_then_turns_sharp,a person walks backwards slowly then turns sharp,turn,120,1,,0.7472,0.0,,,1,1,,accepted_nonempty_only,0
071_a_person_walks_backwards_at_a_steady_pace_in_a_s,a person walks backwards at a steady pace in a s,walk,120,1,,0.7511,0.0,,,1,1,,no_empty_room_evidence,0
072_a_person_walks_backwards_at_a_steady_pace_curvin,a person walks backwards at a steady pace curvin,turn,120,1,,0.7154,0.0,,,1,1,,accepted_nonempty_only,0
074_a_person_walks_backwards_at_a_steady_pace_then_t,a person walks backwards at a steady pace then t,walk,120,1,,0.7159,0.0,,,1,1,,no_empty_room_evidence,0
075_a_person_walks_backwards_at_a_steady_pace_then_t,a person walks backwards at a steady pace then t,walk,120,1,,0.7221,0.0,,,1,1,,no_empty_room_evidence,0
076_a_person_walks_backwards_briskly_in_a_straight_l,a person walks backwards briskly in a straight l,walk,120,1,,0.7077,0.0,,,1,1,,accepted_nonempty_only,0
077_a_person_walks_backwards_briskly_curving_gently,a person walks backwards briskly curving gently,turn,120,1,,0.7269,0.0,,,1,1,,no_empty_room_evidence,0
081_a_person_stands_still_then_begins_walking_slowly,a person stands still then begins walking slowly,stop_start,120,1,,0.7313,0.0,1,,1,1,,no_empty_room_evidence,0
082_a_person_stands_still_then_begins_walking_slowly,a person stands still then begins walking slowly,stop_start,120,1,,0.7372,0.0,1,,1,1,,no_empty_room_evidence,0
083_a_person_stands_still_then_begins_walking_slowly,a person stands still then begins walking slowly,stop_start,120,1,,0.723,0.0,1,,1,1,,no_empty_room_evidence,0
084_a_person_stands_still_then_begins_walking_slowly,a person stands still then begins walking slowly,stop_start,120,1,,0.7378,0.0,1,,1,1,,no_empty_room_evidence,0
085_a_person_stands_still_then_begins_walking_slowly,a person stands still then begins walking slowly,stop_start,120,1,,0.7378,0.0,1,,1,1,,no_empty_room_evidence,0
086_a_person_stands_still_then_begins_walking_at_a_s,a person stands still then begins walking at a s,stop_start,120,1,,0.7312,0.0,1,,1,1,,no_empty_room_evidence,0
088_a_person_stands_still_then_begins_walking_at_a_s,a person stands still then begins walking at a s,stop_start,120,1,,0.7329,0.0,1,,1,1,,no_empty_room_evidence,0
089_a_person_stands_still_then_begins_walking_at_a_s,a person stands still then begins walking at a s,stop_start,120,1,,0.7285,0.0,1,,1,1,,no_empty_room_evidence,0
090_a_person_stands_still_then_begins_walking_at_a_s,a person stands still then begins walking at a s,stop_start,120,1,,0.7277,0.0,1,,1,1,,no_empty_room_evidence,0
091_a_person_stands_still_then_begins_walking_briskl,a person stands still then begins walking briskl,stop_start,120,1,,0.6948,0.0,1,,1,1,,no_empty_room_evidence,0
094_a_person_stands_still_then_begins_walking_briskl,a person stands still then begins walking briskl,stop_start,120,1,,0.6959,0.0,1,,1,1,,no_empty_room_evidence,0
095_a_person_stands_still_then_begins_walking_briskl,a person stands still then begins walking briskl,stop_start,120,1,,0.71,0.0,1,,1,1,,no_empty_room_evidence,0
096_a_person_walks_slowly_in_a_straight_line_and_com,a person walks slowly in a straight line and com,walk,120,1,,0.7314,0.0,0,,1,0,,no_empty_room_evidence,0
097_a_person_walks_slowly_curving_gently_to_the_left,a person walks slowly curving gently to the left,turn,120,1,,0.7497,0.0,0,,1,0,,no_empty_room_evidence,0
098_a_person_walks_slowly_curving_gently_to_the_righ,a person walks slowly curving gently to the righ,turn,120,1,,0.7289,0.0,0,,1,0,,no_empty_room_evidence,0
099_a_person_walks_at_a_steady_pace_in_a_straight_li,a person walks at a steady pace in a straight li,walk,120,1,,0.7241,0.0,0,,1,0,,no_empty_room_evidence,0
100_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7394,0.0,0,,1,0,,no_empty_room_evidence,0
101_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7364,0.0,0,,1,0,,no_empty_room_evidence,0
102_a_person_walks_briskly_in_a_straight_line_and_co,a person walks briskly in a straight line and co,walk,120,1,,0.726,0.0,0,,1,0,,no_empty_room_evidence,0
105_a_person_walks_slowly_in_a_straight_line_and_lif,a person walks slowly in a straight line and lif,walk,120,1,,0.7487,0.0,0,,1,0,,no_empty_room_evidence,0
107_a_person_walks_slowly_curving_gently_to_the_righ,a person walks slowly curving gently to the righ,turn,120,1,,0.7316,0.0,0,,1,0,,no_empty_room_evidence,0
108_a_person_walks_slowly_and_lifts_a_leg_high_to_st,a person walks slowly and lifts a leg high to st,walk,120,1,,0.7371,0.0,0,,1,0,,no_empty_room_evidence,0
109_a_person_walks_slowly_and_lifts_a_leg_high_to_st,a person walks slowly and lifts a leg high to st,walk,120,1,,0.7437,0.0,0,,1,0,,no_empty_room_evidence,0
110_a_person_walks_at_a_steady_pace_in_a_straight_li,a person walks at a steady pace in a straight li,walk,120,1,,0.7307,0.0,0,,1,0,,no_empty_room_evidence,0
112_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7163,0.0,0,,1,0,,no_empty_room_evidence,0
113_a_person_walks_at_a_steady_pace_and_lifts_a_leg,a person walks at a steady pace and lifts a leg,walk,120,1,,0.7351,0.0,0,,1,0,,no_empty_room_evidence,0
114_a_person_walks_at_a_steady_pace_and_lifts_a_leg,a person walks at a steady pace and lifts a leg,walk,120,1,,0.7309,0.0,0,,1,0,,no_empty_room_evidence,0
115_a_person_walks_briskly_in_a_straight_line_and_li,a person walks briskly in a straight line and li,walk,120,1,,0.7228,0.0,0,,1,0,,accepted_nonempty_only,0
116_a_person_walks_briskly_curving_gently_to_the_lef,a person walks briskly curving gently to the lef,turn,120,1,,0.7242,0.0,0,,1,0,,accepted_nonempty_only,0
118_a_person_walks_briskly_and_lifts_a_leg_high_to_s,a person walks briskly and lifts a leg high to s,walk,120,1,,0.7,0.0,0,,1,0,,no_empty_room_evidence,0
119_a_person_walks_briskly_and_lifts_a_leg_high_to_s,a person walks briskly and lifts a leg high to s,walk,120,1,,0.7401,0.0,0,,1,0,,no_empty_room_evidence,0
124_a_person_walks_slowly_curving_gently_to_the_left,a person walks slowly curving gently to the left,turn,120,1,,0.7407,0.0,,,1,1,,no_empty_room_evidence,0
126_a_person_walks_slowly_while_carrying_something_i,a person walks slowly while carrying something i,arms,120,1,,0.7366,0.0,,,1,1,,accepted_nonempty_only,0
127_a_person_walks_slowly_while_carrying_something_i,a person walks slowly while carrying something i,arms,120,1,,0.7399,0.0,,,1,1,,no_empty_room_evidence,0
128_a_person_walks_at_a_steady_pace_in_a_straight_li,a person walks at a steady pace in a straight li,walk,120,1,,0.7253,0.0,,,1,1,,no_empty_room_evidence,0
129_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.723,0.0,,,1,1,,no_empty_room_evidence,0
131_a_person_walks_at_a_steady_pace_while_carrying_s,a person walks at a steady pace while carrying s,arms,120,1,,0.7192,0.0,,,1,1,,no_empty_room_evidence,0
132_a_person_walks_at_a_steady_pace_while_carrying_s,a person walks at a steady pace while carrying s,arms,120,1,,0.7333,0.0,,,1,1,,no_empty_room_evidence,0
133_a_person_walks_briskly_in_a_straight_line_while,a person walks briskly in a straight line while,walk,120,1,,0.7254,0.0,,,1,1,,no_empty_room_evidence,0
136_a_person_walks_briskly_while_carrying_something,a person walks briskly while carrying something,arms,120,1,,0.707,0.0,,,1,1,,no_empty_room_evidence,0
137_a_person_walks_briskly_while_carrying_something,a person walks briskly while carrying something,arms,120,1,,0.7143,0.0,,,1,1,,no_empty_room_evidence,0
138_a_person_walks_slowly_in_a_straight_line_then_st,a person walks slowly in a straight line then st,walk,120,1,,0.7304,0.0,,,1,1,,no_empty_room_evidence,0
139_a_person_walks_slowly_curving_gently_to_the_left,a person walks slowly curving gently to the left,turn,120,1,,0.7381,0.0,,,1,1,,no_empty_room_evidence,0
140_a_person_walks_slowly_curving_gently_to_the_righ,a person walks slowly curving gently to the righ,turn,120,1,,0.7384,0.0,,,1,1,,no_empty_room_evidence,0
141_a_person_walks_at_a_steady_pace_in_a_straight_li,a person walks at a steady pace in a straight li,walk,120,1,,0.7369,0.0,,,1,1,,no_empty_room_evidence,0
142_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7423,0.0,,,1,1,,no_empty_room_evidence,0
143_a_person_walks_at_a_steady_pace_curving_gently_t,a person walks at a steady pace curving gently t,turn,120,1,,0.7418,0.0,,,1,1,,no_empty_room_evidence,0
148_a_person_walks_at_a_steady_pace_forward_squats_d,a person walks at a steady pace forward squats d,walk,120,1,,0.7313,0.0,,,1,1,,no_empty_room_evidence,0
149_a_person_walks_briskly_forward_squats_down_to_pi,a person walks briskly forward squats down to pi,walk,120,1,,0.7134,0.0,,,1,1,,no_empty_room_evidence,0
